epoch,train_loss,lambda_sym,val_rmse_x,val_rmse_y,val_rmse_z,ood_rmse_x,ood_rmse_y,ood_rmse_z
197,0.0015390590489961398,0.1,0.015621753,0.018531501,0.044001013,5.4421644,6.1265364,2.3796306
198,0.0015341461977909487,0.1,0.016146926,0.018768292,0.04390717,5.311471,6.0102205,2.2718706
199,0.0015333027105766516,0.1,0.015702179,0.018623529,0.044207316,5.408818,6.134548,2.3543046
200,0.0015366004454568983,0.1,0.016229827,0.018878555,0.04413389,5.3540225,6.0585494,2.3265338
201,0.0015323426028212102,0.1,0.015874777,0.018679926,0.0440666,5.3186607,6.0255384,2.300048
202,0.0015334506960920035,0.1,0.015650678,0.01850295,0.04390178,5.3984084,6.124655,2.3475194
203,0.0015270344745845366,0.1,0.016621344,0.0190512,0.044967283,5.411482,6.0960717,2.3488877
204,0.001533495850311831,0.1,0.016468717,0.019800203,0.04410493,5.42216,6.140905,2.3890154
205,0.0015128440617655332,0.1,0.016108286,0.01948582,0.04379298,5.2799234,5.9995756,2.344793
206,0.0014737749857326539,0.1,0.015253899,0.018166222,0.043687858,5.3688097,6.0873394,2.3625526
207,0.0014708023607874145,0.1,0.015135891,0.0181149,0.043582432,5.346561,6.0242934,2.3740737
208,0.0014720559023165454,0.1,0.01515826,0.017882545,0.043535274,5.361931,6.0430527,2.355267
209,0.0014701921221179266,0.1,0.015150089,0.017953798,0.04385046,5.38567,6.065725,2.3858898
210,0.0014736018433140065,0.1,0.015246344,0.017936995,0.043585397,5.429036,6.1112533,2.4255083
211,0.0014461816552704056,0.096667,0.015334525,0.017879836,0.043783214,5.3372846,6.0242004,2.347394
212,0.001422062629642777,0.093333,0.015970841,0.017831221,0.04362349,5.313706,6.0189557,2.3288164
213,0.0013963153476838786,0.09,0.015513593,0.018138211,0.043619365,5.2684236,5.9844103,2.341069
214,0.0013682566014512514,0.086667,0.014840695,0.017763423,0.043322444,5.2778654,5.9857774,2.3243878
215,0.001345561027753716,0.083333,0.01472801,0.017537285,0.04374308,5.3423724,6.031458,2.3721607
216,0.0013239601297148813,0.08,0.014752482,0.01759193,0.043043096,5.2667136,6.0064716,2.3409028
217,0.0012929480857191943,0.076667,0.014880383,0.017631324,0.043209232,5.2360644,5.9977407,2.3062508
218,0.0012723630785237616,0.073333,0.014818857,0.01738314,0.043186758,5.2518816,6.006139,2.2943594
219,0.00124656067092497,0.07,0.0142690595,0.01706868,0.04280817,5.319106,6.0555224,2.326026
220,0.0012112316356088298,0.066667,0.014106127,0.016791979,0.04271643,5.2420545,5.9888988,2.3057072
221,0.0011863392723264555,0.063333,0.014348162,0.01683634,0.04295233,5.1825085,5.943805,2.284753
222,0.0011606873848881477,0.06,0.0138554815,0.016871242,0.042494174,5.273578,6.0439734,2.3448944
223,0.0011346647903944056,0.056667,0.014054003,0.016736096,0.042495687,5.184264,5.9822407,2.2981188
224,0.0011054625822744595,0.053333,0.013652923,0.016295105,0.042100675,5.1590037,5.9484205,2.308359
225,0.001085862358778309,0.05,0.013548185,0.016541144,0.04213579,5.0627055,5.874259,2.2409368
226,0.001052605275897524,0.046667,0.013772561,0.016297316,0.04199059,5.108667,5.9108067,2.2698007
227,0.0010216362641539234,0.043333,0.013242648,0.016240599,0.042313993,5.1781526,6.000817,2.2800875
228,0.000996061075383272,0.04,0.013238782,0.016537169,0.04196655,5.0890703,5.9081554,2.2678921
229,0.0009658551601042303,0.036667,0.01309887,0.016137728,0.0417553,5.002837,5.8785796,2.2186627
